id,name,type,card_category,industry,tier,cost,income,valuation_points,upkeep,net_income,mode,exit_value,tempo,staff_min,staff_opt,income_scaled,income_opt,trend_track,synergy_gives,synergy_receives,license,location_requirement,special_rule,time_delay,effort,likelihood,hormozi_value,roi,efficiency,total_launch_cost,staff_hire_cost,max_income,avg_income,effective_roi,payback_breaks,synergy_output,synergy_input,synergy_links,complexity_score,hormozi_v2,tag_count,requirement_count,synergy_count,status,version,immediate_effect,ongoing_effect,tags,requirements,synergies,flavor_text,balance_notes
BUS-PROFESSIONAL-005,Accounting Firm,Business,Business,Professional,Established,7.0,6.0,4.0,0.0,6.0,Digital,4.0,Estable,2.0,,,,,Experiencia -> -1k al siguiente lanzamiento Service/Professional/Trades,,Finanzas,,,0.0,1.0,8.0,32.0,0.857,1.429,7.0,2.0,6.0,6.0,0.857,1.17,1,0,1,2,4.57,0,1,1,draft,2,,Genera 6k/Break sin subestado adicional.,[],['Licencia: Finanzas'],['Experiencia'],"Donde otros ven papeleo, tú ves control y margen.",Professional finance anchor with no unnecessary optimal line.
BUS-PROFESSIONAL-006,Architecture Studio,Business,Business,Professional,Established,7.0,5.0,4.0,0.0,5.0,Physical,4.0,Estable,2.0,3.0,,6.0,,Prestigio -> +1 Marca,,,,,0.0,2.0,8.0,32.0,0.714,1.286,9.0,2.0,5.0,5.0,0.556,1.8,1,0,1,3,3.56,0,0,1,draft,2,,"Genera 5k/Break. Si alcanza óptimo, sube a 6k/Break.",[],[],['Prestigio'],Diseñar bien vende una visión antes de vender ladrillo.,One of the few established professional cards that keeps óptimo due to bespoke-client quality.
BUS-PROFESSIONAL-007,Private Practice,Business,Business,Professional,Established,8.0,6.0,5.0,0.0,6.0,Physical,5.0,Estable,2.0,3.0,,7.0,,,,Salud,,,0.0,2.0,8.0,40.0,0.75,1.375,10.0,2.0,6.0,6.0,0.6,1.67,0,0,0,3,4.0,0,1,0,draft,2,,"Genera 6k/Break. Si alcanza óptimo, sube a 7k/Break.",[],['Licencia: Salud'],[],La confianza clínica se construye caso a caso.,Removes printed synergy to stay inside the budget.
BUS-PROFESSIONAL-008,Dental Clinic,Business,Business,Professional,Premium,12.0,7.0,8.0,0.0,7.0,Physical,8.0,Estable,3.0,4.0,,8.0,,,,Salud,,,0.0,2.0,8.0,64.0,0.583,1.25,14.0,3.0,7.0,7.0,0.5,2.0,0,0,0,3,4.57,0,1,0,draft,2,,"Genera 7k/Break. Si alcanza óptimo, sube a 8k/Break.",[],['Licencia: Salud'],[],"El paciente vuelve por el resultado, pero también por la confianza.",Removes printed synergy to keep license + óptimo as the only complications.
BUS-PROFESSIONAL-009,Hospital,Business,Business,Professional,Empire,18.0,9.0,12.0,0.0,9.0,Physical,12.0,Estable,4.0,5.0,,11.0,,,,Salud,,,0.0,3.0,7.0,84.0,0.5,1.167,20.0,4.0,9.0,9.0,0.45,2.22,0,0,0,3,4.2,0,1,0,draft,2,,"Genera 9k/Break. Si alcanza óptimo, sube a 11k/Break.",[],['Licencia: Salud'],[],Coordinar esta escala no es una consulta. Es un sistema completo.,Removes printed synergy to keep the empire health card readable.
BUS-REALESTATE-001,Storage Units,Business,Business,Real Estate,Starter,5.0,3.0,3.0,0.0,3.0,Physical,3.0,Estable,1.0,,,,,Suministro -> -1k al siguiente lanzamiento relacionado,,,,,0.0,1.0,9.0,27.0,0.6,1.2,7.0,1.0,3.0,3.0,0.429,2.33,1,0,1,1,3.86,0,0,1,draft,2,,Genera 3k/Break sin subestado adicional.,[],[],['Suministro'],"Mucho espacio, poca fricción operativa.",Simple real-estate starter with supply support.
BUS-REALESTATE-002,Rental Duplex,Business,Business,Real Estate,Established,8.0,5.0,5.0,0.0,5.0,Physical,5.0,Estable,2.0,,,,,,,,,,0.0,1.0,8.0,40.0,0.625,1.25,10.0,2.0,5.0,5.0,0.5,2.0,0,0,0,0,4.0,0,0,0,draft,2,,Genera 5k/Break sin subestado adicional.,[],[],[],No necesita espectáculo. Necesita ocupación y disciplina.,Straight stable asset card kept deliberately plain.
BUS-REALESTATE-003,Apartment Complex,Business,Business,Real Estate,Premium,13.0,7.0,8.0,0.0,7.0,Physical,8.0,Estable,3.0,4.0,,8.0,,,,,,,0.0,2.0,8.0,64.0,0.538,1.154,15.0,3.0,7.0,7.0,0.467,2.14,0,0,0,2,4.27,0,0,0,draft,2,,"Genera 7k/Break. Si alcanza óptimo, sube a 8k/Break.",[],[],[],"A esta escala, la gestión ya es parte del negocio.",One of the few property cards with optimal staffing due to operational density.
BUS-REALESTATE-004,Hotel Chain,Business,Business,Real Estate,Premium,14.0,6.0,8.0,0.0,6.0,Physical,8.0,Escala,3.0,4.0,10.0,10.0,,,Prestigio -> +1 Marca,,,,0.0,2.0,7.0,56.0,0.429,1.0,16.0,3.0,10.0,8.0,0.5,2.0,0,1,1,4,3.5,0,0,1,draft,2,,Entra en 6k/Break. Con 2 crecimientos pasa a 10k/Break.,[],[],['Prestigio'],"La ocupación depende del activo, pero también de la marca y la operación.",Drops location to respect the two-complication cap.
BUS-REALESTATE-005,Parking Lot,Business,Business,Real Estate,Starter,4.0,3.0,2.0,0.0,3.0,Physical,2.0,Estable,1.0,,,,,Tráfico -> +1 Bono de Pausa,,,Centro / Intermedia,,0.0,1.0,9.0,18.0,0.75,1.25,6.0,1.0,3.0,3.0,0.5,2.0,1,0,1,2,3.0,0,0,1,draft,2,,Genera 3k/Break sin subestado adicional.,[],[],['Tráfico'],"Cuando el espacio es escaso, incluso parar se monetiza.",Map-sensitive stable anchor.
BUS-REALESTATE-006,Airbnb Property,Business,Business,Real Estate,Starter,5.0,3.0,3.0,0.0,3.0,Physical,3.0,Tendencia,1.0,,,,+2 / +1 / +0,,Prestigio -> +1 Marca,,,,0.0,1.0,7.0,21.0,0.6,1.2,7.0,1.0,5.0,4.0,0.571,1.75,0,1,1,2,3.0,0,0,1,draft,2,,Entra con ingreso base 3k/Break y token +2 / +1 / +0.,[],[],['Prestigio'],"La ocupación sube rápido, pero no siempre dura.",Keeps a short-stay trend role distinct from normal rentals.
BUS-REALESTATE-007,Commercial Office,Business,Business,Real Estate,Established,9.0,6.0,5.0,0.0,6.0,Physical,5.0,Estable,2.0,,,,,Prestigio -> +1 Marca,,,,,0.0,1.0,8.0,40.0,0.667,1.222,11.0,2.0,6.0,6.0,0.545,1.83,1,0,1,1,3.64,0,0,1,draft,2,,Genera 6k/Break sin subestado adicional.,[],[],['Prestigio'],El inmueble también comunica quién puede entrar y pagar.,Useful prestige property without extra state.
BUS-REALESTATE-008,Warehouse,Business,Business,Real Estate,Established,8.0,5.0,4.0,0.0,5.0,Physical,4.0,Estable,2.0,,,,,Suministro -> -1k al siguiente lanzamiento relacionado,,,,,0.0,1.0,8.0,32.0,0.625,1.125,10.0,2.0,5.0,5.0,0.5,2.0,1,0,1,1,3.2,0,0,1,draft,2,,Genera 5k/Break sin subestado adicional.,[],[],['Suministro'],"No vende de cara al cliente, pero sostiene mucho de lo que sí.",Important modern logistics enabler.
BUS-REALESTATE-009,Shopping Mall,Business,Business,Real Estate,Empire,16.0,8.0,11.0,0.0,8.0,Physical,11.0,Estable,4.0,5.0,,10.0,,Tráfico -> +1 Bono de Pausa,,,,,0.0,3.0,7.0,77.0,0.5,1.188,18.0,4.0,8.0,8.0,0.444,2.25,1,0,1,3,4.28,0,0,1,draft,2,,"Genera 8k/Break. Si alcanza óptimo, sube a 10k/Break.",[],[],['Tráfico'],Controlas el flujo antes incluso de controlar la venta.,Drops location to stay within the printed complexity budget.
BUS-RETAIL-001,Market Stall,Business,Business,Retail,Starter,2.0,2.0,2.0,0.0,2.0,Physical,2.0,Estable,1.0,,,,,Tráfico -> +1 Bono de Pausa,,,Barrio / Intermedia,,0.0,1.0,9.0,18.0,1.0,2.0,4.0,1.0,2.0,2.0,0.5,2.0,1,0,1,2,4.5,0,0,1,draft,2,,Genera 2k/Break sin subestado adicional.,[],[],['Tráfico'],"Pequeño puesto, aprendizaje rápido, rotación constante.",Very low-friction retail starter.
BUS-RETAIL-002,Dropshipping Store,Business,Business,Retail,Starter,3.0,2.0,2.0,0.0,2.0,Digital,2.0,Tendencia,1.0,,,,+2 / +1 / +0,,Suministro -> -1k al siguiente lanzamiento relacionado,,,,0.0,1.0,7.0,14.0,0.667,1.333,3.0,1.0,4.0,3.0,1.0,1.0,0,1,1,2,4.67,0,0,1,draft,2,,Entra con ingreso base 2k/Break y token +2 / +1 / +0.,[],[],['Suministro'],Vendes sin tocar inventario. También dependes de todo lo que no controlas.,Replaces generic Online Store with clearer platform dependence.
BUS-RETAIL-003,Boutique,Business,Business,Retail,Established,6.0,4.0,4.0,0.0,4.0,Physical,4.0,Tendencia,2.0,,,,+2 / +1 / +0,,Prestigio -> +1 Marca,,Centro,,0.0,1.0,7.0,28.0,0.667,1.333,8.0,2.0,6.0,5.0,0.625,1.6,0,1,1,3,3.5,0,0,1,draft,2,,Entra con ingreso base 4k/Break y token +2 / +1 / +0.,[],[],['Prestigio'],La moda cambia rápido. Ahí está tanto el riesgo como el margen.,"Kept as a trend retail identity, not an optimal staffing puzzle."
BUS-RETAIL-004,FBA Business,Business,Business,Retail,Established,6.0,4.0,4.0,0.0,4.0,Digital,4.0,Estable,1.0,,,,,,Suministro -> -1k al siguiente lanzamiento relacionado,,,,0.0,1.0,8.0,32.0,0.667,1.333,6.0,1.0,4.0,4.0,0.667,1.5,0,1,1,1,5.33,0,0,1,draft,2,,Genera 4k/Break sin subestado adicional.,[],[],['Suministro'],La logística es externa; la selección y el margen siguen siendo tuyos.,Separates FBA from dropshipping by giving it steadier execution and no trend decay.
BUS-RETAIL-005,Thrift Store,Business,Business,Retail,Starter,3.0,2.0,2.0,0.0,2.0,Physical,2.0,Tendencia,1.0,,,,+2 / +1 / +0,,Prestigio -> +1 Marca,,,,0.0,1.0,7.0,14.0,0.667,1.333,5.0,1.0,4.0,3.0,0.6,1.67,0,1,1,2,2.8,0,0,1,draft,2,,Entra con ingreso base 2k/Break y token +2 / +1 / +0.,[],[],['Prestigio'],"Curación, comunidad y hallazgos: el atractivo está en la historia del producto.",Keeps a differentiated low-cost retail trend role.
BUS-RETAIL-007,Furniture Store,Business,Business,Retail,Established,8.0,5.0,5.0,0.0,5.0,Physical,5.0,Estable,2.0,,,,,,Suministro -> -1k al siguiente lanzamiento relacionado,,Intermedia / Centro,,0.0,1.0,8.0,40.0,0.625,1.25,10.0,2.0,5.0,5.0,0.5,2.0,0,1,1,2,4.0,0,0,1,draft,2,,Genera 5k/Break sin subestado adicional.,[],[],['Suministro'],"Cada venta mueve caja, inventario y entrega a la vez.",Logistics-sensitive mid-tier retail anchor.
BUS-RETAIL-008,Luxury Goods Store,Business,Business,Retail,Premium,12.0,6.0,8.0,0.0,6.0,Physical,8.0,Estable,2.0,3.0,,8.0,,Prestigio -> +1 Marca,,,,,0.0,2.0,8.0,64.0,0.5,1.167,14.0,2.0,6.0,6.0,0.429,2.33,1,0,1,3,4.57,0,0,1,draft,2,,"Genera 6k/Break. Si alcanza óptimo, sube a 8k/Break.",[],[],['Prestigio'],El margen premium existe porque no todo el mundo puede vender confianza al mismo nivel.,Drops location to keep the card under budget.
BUS-RETAIL-009,Department Store,Business,Business,Retail,Empire,16.0,7.0,11.0,0.0,7.0,Physical,11.0,Escala,4.0,5.0,11.0,11.0,,Tráfico -> +1 Bono de Pausa,,,,,0.0,3.0,6.0,66.0,0.438,1.125,18.0,4.0,11.0,9.0,0.5,2.0,1,0,1,4,3.67,0,0,1,draft,2,,Entra en 7k/Break. Con 2 crecimientos pasa a 11k/Break.,[],[],['Tráfico'],"Cuando concentras categorías y flujo, tu tienda se vuelve destino.",Drops location to respect the complexity cap.
BUS-SERVICE-001,Vending Route,Business,Business,Service,Starter,2.0,3.0,2.0,0.0,3.0,Physical,2.0,Estable,1.0,,,,,,,,,,0.0,1.0,9.0,18.0,1.5,2.5,4.0,1.0,3.0,3.0,0.75,1.33,0,0,0,0,4.5,0,0,0,draft,2,,Genera 3k/Break sin subestado adicional.,[],[],[],"Pocas manos, mucha disciplina operativa.",Pure efficient anchor. No synergy to avoid overloading the cheapest stable card.
BUS-SERVICE-002,Marketing Agency,Business,Business,Service,Established,7.0,4.0,5.0,0.0,4.0,Digital,5.0,Estable,2.0,,,,,Prestigio -> +1 Marca,,,,"1 vez por trimestre, otro negocio B2C o digital obtiene +1 Bono de Pausa.",0.0,1.0,8.0,40.0,0.571,1.286,7.0,2.0,4.0,4.0,0.571,1.75,1,0,1,2,5.71,0,0,1,draft,2,,Genera 4k/Break sin subestado adicional.,[],[],['Prestigio'],No siempre necesitas otro negocio. A veces necesitas que los que ya tienes conviertan mejor.,Explicit support card. Own income is capped so support does not become a raw-economy star.
BUS-SERVICE-003,Car Wash,Business,Business,Service,Starter,4.0,4.0,3.0,0.0,4.0,Physical,3.0,Estable,2.0,,,,,,Tráfico -> +1 Bono de Pausa,,Intermedia,,0.0,1.0,9.0,27.0,1.0,1.75,6.0,2.0,4.0,4.0,0.667,1.5,0,1,1,2,4.5,0,0,1,draft,2,,Genera 4k/Break sin subestado adicional.,[],[],['Tráfico'],El trabajo es repetible; la ubicación hace la diferencia.,Early physical service with map sensitivity and no optimal overhead.
BUS-SERVICE-004,Laundromat,Business,Business,Service,Established,6.0,5.0,4.0,0.0,5.0,Physical,4.0,Estable,2.0,,,,,Tráfico -> +1 Bono de Pausa,,,,,0.0,1.0,8.0,32.0,0.833,1.5,8.0,2.0,5.0,5.0,0.625,1.6,1,0,1,1,4.0,0,0,1,draft,2,,Genera 5k/Break sin subestado adicional.,[],[],['Tráfico'],No es glamuroso. Precisamente por eso funciona.,Classic stable engine retained almost as-is under the new template.
BUS-SERVICE-005,Pest Control,Business,Business,Service,Established,6.0,4.0,4.0,0.0,4.0,Physical,4.0,Escala,2.0,,6.0,,,Experiencia -> -1k al siguiente lanzamiento Service/Professional/Trades,,,,,0.0,1.0,7.0,28.0,0.667,1.333,8.0,2.0,6.0,5.0,0.625,1.6,1,0,1,2,3.5,0,0,1,draft,2,,Entra en 4k/Break. Con 2 crecimientos pasa a 6k/Break.,[],[],['Experiencia'],"La experiencia reduce errores, tiempos muertos y trabajos mal presupuestados.",Experiencia now discounts future execution instead of printing recurring income.
BUS-SERVICE-006,AI Agency,Business,Business,Service,Established,8.0,4.0,5.0,0.0,4.0,Digital,5.0,Estable,2.0,,,,,,,,,La primera recolocación del trimestre es gratis y otro negocio digital o Service obtiene +1 Bono de Pausa.,0.0,1.0,8.0,40.0,0.5,1.125,8.0,2.0,4.0,4.0,0.5,2.0,0,0,0,1,5.0,0,0,0,draft,2,,Genera 4k/Break sin subestado adicional.,[],[],[],No sustituye la empresa. Comprime el trabajo necesario para moverla.,"AI is expressed as operating leverage, not a generic income bonus."
BUS-SERVICE-007,Cleaning Company,Business,Business,Service,Established,7.0,4.0,5.0,0.0,4.0,Physical,5.0,Escala,2.0,3.0,7.0,7.0,,Experiencia -> -1k al siguiente lanzamiento Service/Professional/Trades,,,,,0.0,2.0,7.0,35.0,0.571,1.286,9.0,2.0,7.0,5.5,0.611,1.64,1,0,1,4,3.89,0,0,1,draft,2,,Entra en 4k/Break. Con 2 crecimientos pasa a 7k/Break.,[],[],['Experiencia'],"Los procesos importan, pero la capacidad real sigue siendo gente desplegada.",One of the few mid-tier service cards that keeps an óptimo line because labor density is core identity.
BUS-SERVICE-008,Security Firm,Business,Business,Service,Premium,11.0,6.0,7.0,0.0,6.0,Physical,7.0,Estable,3.0,4.0,,8.0,,Prestigio -> +1 Marca,,,,,0.0,2.0,8.0,56.0,0.545,1.182,13.0,3.0,6.0,6.0,0.462,2.17,1,0,1,3,4.31,0,0,1,draft,2,,"Genera 6k/Break. Si alcanza óptimo, sube a 8k/Break.",[],[],['Prestigio'],"Cuando vendes seguridad, la confianza se convierte en margen.",Premium service with optimal staffing concentrated where it matters.
BUS-SERVICE-009,Property Management,Business,Business,Service,Premium,11.0,7.0,7.0,0.0,7.0,Physical,7.0,Estable,3.0,,,,,,,,,"1 vez por trimestre, otro negocio Real Estate obtiene +1 Bono de Pausa.",0.0,2.0,8.0,56.0,0.636,1.273,13.0,3.0,7.0,7.0,0.538,1.86,0,0,0,1,4.31,0,0,0,draft,2,,Genera 7k/Break sin subestado adicional.,[],[],[],Gestionar activos ajenos bien es un negocio propio.,Support business that meaningfully helps Real Estate without becoming an empire finisher.
BUS-TECH-001,Freelance Developer,Business,Business,Tech,Starter,2.0,2.0,2.0,0.0,2.0,Digital,2.0,Escala,1.0,,5.0,,,Tecnología -> +1 crecimiento,,,,,0.0,1.0,7.0,14.0,1.0,2.0,2.0,1.0,5.0,3.5,1.75,0.57,1,0,1,2,7.0,0,0,1,draft,2,,Entra en 2k/Break. Con 2 crecimientos pasa a 5k/Break.,[],[],['Tecnología'],Empiezas vendiendo horas. El reto es convertirlas en sistema.,Pure tech scaler opener.
BUS-TECH-002,Plataforma SaaS,Business,Business,Tech,Premium,12.0,5.0,8.0,0.0,5.0,Digital,8.0,Escala,3.0,,9.0,,,Tecnología -> +1 crecimiento,,,,,0.0,2.0,7.0,56.0,0.417,1.083,12.0,3.0,9.0,7.0,0.583,1.71,1,0,1,2,4.67,0,0,1,draft,2,,Entra en 5k/Break. Con 2 crecimientos pasa a 9k/Break.,[],[],['Tecnología'],El producto no crece por metros cuadrados. Crece por adopción y retención.,Renamed to avoid the awkward startup/premium mismatch while keeping flagship role.
BUS-TECH-004,Creator Brand,Business,Business,Tech,Established,5.0,2.0,4.0,0.0,2.0,Digital,4.0,Tendencia,1.0,,,,+2 / +1 / +0,,,,,"Tiene 2 casillas de audiencia. Cada vez que CRECER la elige, llena 1. Al completar 2, se convierte en Estable de 4k. 1 vez por trimestre, si está estabilizada, otro negocio B2C o digital obtiene +1 Bono de Pausa.",0.0,1.0,7.0,28.0,0.4,1.2,5.0,1.0,4.0,3.0,0.6,1.67,0,0,0,2,5.6,0,0,0,draft,2,,Entra con 2k/Break y token +2 / +1 / +0. Al llenar 2 casillas de audiencia con CRECER se convierte en Estable 4k/Break.,[],[],[],Al principio dependes de la atención. Luego conviertes atención en activo propio.,Only bespoke micro-track in the pool; kept because it teaches owned audience vs rented attention.
BUS-TECH-005,Mobile App,Business,Business,Tech,Established,7.0,4.0,5.0,0.0,4.0,Digital,5.0,Tendencia,2.0,,,,+2 / +1 / +0,,,,,,0.0,1.0,7.0,35.0,0.571,1.286,7.0,2.0,6.0,5.0,0.714,1.4,0,0,0,1,5.0,0,0,0,draft,2,,Entra con ingreso base 4k/Break y token +2 / +1 / +0.,[],[],[],La distribución parece infinita hasta que la plataforma cambia la regla.,Deliberately fragile trend tech route with no built-in synergy cushion.
BUS-TECH-006,E-commerce Platform,Business,Business,Tech,Established,9.0,4.0,5.0,0.0,4.0,Digital,5.0,Escala,2.0,,7.0,,,Suministro -> -1k al siguiente lanzamiento relacionado,,,,,0.0,1.0,7.0,35.0,0.444,1.0,9.0,2.0,7.0,5.5,0.611,1.64,1,0,1,2,3.89,0,0,1,draft,2,,Entra en 4k/Break. Con 2 crecimientos pasa a 7k/Break.,[],[],['Suministro'],"Cuando conectas catálogo, checkout y cumplimiento, reduces fricción para todo el sistema.","Supportive digital scale card, not a pure income monster."
BUS-TECH-007,Cybersecurity Firm,Business,Business,Tech,Premium,12.0,8.0,8.0,0.0,8.0,Digital,8.0,Estable,3.0,,,,,,,,,,0.0,2.0,8.0,64.0,0.667,1.333,12.0,3.0,8.0,8.0,0.667,1.5,0,0,0,0,5.33,0,0,0,draft,2,,Genera 8k/Break sin subestado adicional.,[],[],[],La mejor venta es la que el cliente renueva porque no puede permitirse fallar.,Premium tech anchor intentionally light on text.
BUS-TECH-009,Tech Conglomerate,Business,Business,Tech,Empire,18.0,8.0,12.0,0.0,8.0,Digital,12.0,Escala,4.0,5.0,12.0,12.0,,,Tecnología -> +1 crecimiento,,,,0.0,3.0,6.0,72.0,0.444,1.111,18.0,4.0,12.0,10.0,0.556,1.8,0,1,1,4,4.0,0,1,1,draft,2,,Entra en 8k/Break. Con 2 crecimientos pasa a 12k/Break.,[],['2 negocios Tech activos'],['Tecnología'],Ya no operas un producto: operas una cartera de capacidades tecnológicas.,Empire tech finisher with explicit prerequisite and concentrated staffing.
BUS-TRADES-001,Handyman,Business,Business,Trades,Starter,2.0,3.0,2.0,0.0,3.0,Physical,2.0,Estable,1.0,,,,,Experiencia -> -1k al siguiente lanzamiento Service/Professional/Trades,,,,,0.0,1.0,9.0,18.0,1.5,2.5,4.0,1.0,3.0,3.0,0.75,1.33,1,0,1,1,4.5,0,0,1,draft,2,,Genera 3k/Break sin subestado adicional.,[],[],['Experiencia'],Un oficio bien ejecutado puede financiar el siguiente salto.,Simple early trades anchor.
BUS-TRADES-002,Auto Repair,Business,Business,Trades,Established,6.0,4.0,4.0,0.0,4.0,Physical,4.0,Estable,2.0,3.0,,6.0,,,Suministro -> -1k al siguiente lanzamiento relacionado,,,,0.0,2.0,8.0,32.0,0.667,1.333,8.0,2.0,4.0,4.0,0.5,2.0,0,1,1,3,4.0,0,0,1,draft,2,,"Genera 4k/Break. Si alcanza óptimo, sube a 6k/Break.",[],[],['Suministro'],La demanda está asegurada; la diferencia está en capacidad y rotación.,Absorbs the old auto-franchise/service overlap into one clear trades card.
BUS-TRADES-003,Plumbing,Business,Business,Trades,Established,7.0,6.0,4.0,0.0,6.0,Physical,4.0,Estable,2.0,,,,,Experiencia -> -1k al siguiente lanzamiento Service/Professional/Trades,,,,,0.0,1.0,8.0,32.0,0.857,1.429,9.0,2.0,6.0,6.0,0.667,1.5,1,0,1,1,3.56,0,0,1,draft,2,,Genera 6k/Break sin subestado adicional.,[],[],['Experiencia'],"Cuando algo falla, el cliente no posterga la llamada.",Strong stable trades anchor.
